18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18821018-1286	Acute regulation is mediated by the <mark style="background-color:lightgreen;" id="P58864,Q9DG08">steroidogenic acute regulatory protein</mark> ( <mark style="background-color:lightgreen;" id="O46689,P49675,P51557,P58864,P70114,P79245,P97826,Q28918,Q28996,Q9DE06,Q9DEB4,Q9DG08,Q9DG09,Q9DG10">StAR</mark> ), which facilitates the rapid influx of <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> into mitochondria, where P450scc resides.
18821018-1287	In the absence of <mark style="background-color:lightgreen;" id="O57525,O73853,P05093,P05185,P11715,P12394,P19100,P27786,P30437,P70085,P70687,Q29497,Q2XVA1,Q64410,Q8HYM9,Q8HYN0,Q8HYN1,Q91Z85,Q92113,Q95328,Q9GLD2,Q9GMC7,Q9GMC8,Q9N0U7">P450c17</mark> in the zona glomerulosa, C21 deoxy steroids are produced, leading to the mineralocorticoid, <mark style="background-color:lightblue;" id="5839">aldosterone</mark>.
18821018-1288	In the presence of the 17alpha-hydroxylase but not the 17,20 <mark style="background-color:yellow;" id="GO:0016829,molecular_function">lyase activity</mark> of <mark style="background-color:lightgreen;" id="O57525,O73853,P05093,P05185,P11715,P12394,P19100,P27786,P30437,P70085,P70687,Q29497,Q2XVA1,Q64410,Q8HYM9,Q8HYN0,Q8HYN1,Q91Z85,Q92113,Q95328,Q9GLD2,Q9GMC7,Q9GMC8,Q9N0U7">P450c17</mark> in the zona fasciculata, C21, 17-hydroxy steroids are produced, leading to the glucocorticoid, <mark style="background-color:lightblue;" id="5754">cortisol</mark>.
18821018-1289	When both the 17alpha-hydroxylase and 17,20 <mark style="background-color:yellow;" id="GO:0016829,molecular_function">lyase activities</mark> of <mark style="background-color:lightgreen;" id="O57525,O73853,P05093,P05185,P11715,P12394,P19100,P27786,P30437,P70085,P70687,Q29497,Q2XVA1,Q64410,Q8HYM9,Q8HYN0,Q8HYN1,Q91Z85,Q92113,Q95328,Q9GLD2,Q9GMC7,Q9GMC8,Q9N0U7">P450c17</mark> are present in the zona reticularis, the androgen precursor <mark style="background-color:lightblue;" id="5881">DHEA</mark> is produced.
18821018-1291	In the adrenal zona reticularis, the abundant expression of P450 oxidoreductase and <mark style="background-color:lightgreen;" id="O04354,P00167,P00168,P00169,P00170,P00171,P00172,P00173,P00174,P40312,P40934,P49096,P49097,P49098,P49100,P56395,Q874I5,Q9HFV1,Q9V4N3,Q9Y706">cytochrome b5</mark> , and the low expression of <mark style="background-color:lightgreen;" id="P19871">3beta-hydroxysteroid dehydrogenase</mark> ( <mark style="background-color:lightgreen;" id="P26439,Q64421">HSD3B2</mark> ) result in the production of the large amounts of <mark style="background-color:lightblue;" id="5881">DHEA</mark> that characterize adrenarche.
18845629-1303	They secreted <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> in response to <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> and could correct hyperglycemia in vivo when cotransplanted with vascular cells.
18840677-1304	Suppression of <mark style="background-color:lightblue;" id="1388">1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine</mark>-induced <mark style="background-color:lightgreen;" id="O61309,O61608,Q27571,Q9I9M2">nitric-oxide synthase</mark> 2 expression in astrocytes by a novel <mark style="background-color:lightblue;" id="3071">diindolylmethane</mark> analog protects striatal neurons against <mark style="background-color:yellow;" id="GO:0006915,biological_process">apoptosis</mark> .
18845634-1306	A functional <mark style="background-color:lightgreen;" id="O02750,O93416,Q28603,Q95189,Q95234">leptin</mark> system is essential for <mark style="background-color:lightblue;" id="26052">sodium tungstate</mark> antiobesity action.
18845638-1311	Deletion of the G protein-coupled receptor 30 impairs glucose tolerance, reduces bone growth, increases blood pressure, and eliminates <mark style="background-color:lightblue;" id="5757">estradiol</mark>-stimulated <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> release in female mice.
18845640-1315	<mark style="background-color:yellow;" id="GO:0006350,biological_process">Transcription</mark> of <mark style="background-color:lightgreen;" id="P58864,Q9DG08">steroidogenic acute regulatory protein</mark> in the rodent ovary and placenta: alternative modes of <mark style="background-color:lightblue;" id="6076">cyclic adenosine 3', 5'-monophosphate</mark> dependent and independent regulation.
18845640-1316	The substrate for the synthesis of all steroid hormones is <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark>, and its conversion to the first steroid, <mark style="background-color:lightblue;" id="8955">pregnenolone</mark>, by the <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> side-chain cleavage <mark style="background-color:lightgreen;" id="O08469">cytochrome P450</mark> ( <mark style="background-color:lightgreen;" id="O46515,P00189,P05108,P10612,P79153,P79202,Q07217,Q28827,Q2XV99,Q92045,Q9EPT4">CYP11A1</mark> ) enzyme complex takes place in the inner <mark style="background-color:yellow;" id="GO:0005740,cellular_component">mitochondrial membranes</mark> .
18845645-1323	Direct <mark style="background-color:lightgreen;" id="P08235,P22199,P79404,Q29131,Q3YC04,Q4JM28,Q8QHI2,Q8VII8,Q91573,Q9BDJ7,Q9IAC6,Q9N0W8">mineralocorticoid receptor</mark> (MR) activation with <mark style="background-color:lightblue;" id="5952">deoxycorticosterone acetate</mark> has deleterious effects on the cerebral vasculature.
18845645-1325	Therefore, we hypothesized that systemic <mark style="background-color:lightgreen;" id="O77667,P50168,P50233,P51661,P51976,P80365">11betaHSD2</mark> inhibition with <mark style="background-color:lightblue;" id="21913,636403,5311038">carbenoxolone</mark> ( <mark style="background-color:lightgreen;" id="P83916">CBX</mark> ) would cause remodeling of the middle cerebral artery (MCA) and increase the damage caused by cerebral ischemia.
18829266-1329	Toll-like receptor ( <mark style="background-color:lightgreen;" id="P23799">TLR</mark> ) 4 is a critical receptor and signal transducer for <mark style="background-color:lightblue;" id="11970143">lipopolysaccharide</mark> (LPS), a major component of Gram-negative bacteria.
18845661-1336	In this study, we attempted to evaluate the effects of <mark style="background-color:lightblue;" id="3821,182137,644025">ketamine</mark> on F- <mark style="background-color:lightgreen;" id="O00937,O13419,O16808,O17320,O65314,O65315,O65316,O74258,O81221,P02577,P10365,P10989,P11426,P13363,P14235,P17128,P20904,P24902,P26182,P26183,P30161,P45520,P45521,P48465,P50138,P51775,P53455,P53476,P53477,P53491,P53498,P53499,P53500,P53502,P53689,P60009,P60010,P60011,P68555,P78711,P80709,P81085,P90689,P91754,Q05214,Q11212,Q24733,Q2U7A3,Q39596,Q39758,Q6TCF2,Q75D00,Q8SWN8,Q8X119,Q92192,Q92193,Q99023,Q9P4D1,Q9UVF3,Q9UVX4,Q9UVZ8">actin</mark> and microtubular <mark style="background-color:yellow;" id="GO:0005856,cellular_component">cytoskeletons</mark> in human hepatoma HepG2 cells and its possible molecular mechanisms.
18845661-1337	Consequently, <mark style="background-color:lightblue;" id="3821,182137,644025">ketamine</mark>-caused cytoskeletal interruption led to suppression of <mark style="background-color:lightgreen;" id="P08684">CYP3A4</mark> expression and its metabolizing activity.
18845662-1339	Because many drug-drug interactions may occur at the level of drug transporting proteins, we studied interactions of <mark style="background-color:lightblue;" id="3033">diclofenac</mark> with apical <mark style="background-color:yellow;" id="GO:0005524,molecular_function">ATP-binding</mark> cassette (ABC) <mark style="background-color:lightgreen;" id="O31855,O82855,P37340,P45272,P58163,P58164,Q55364,Q57PL1,Q5E4Y6,Q5KZL2,Q5MZD9,Q5NYX9,Q5PH16,Q5QWR6,Q62LW6,Q63DZ4,Q63S57,Q65IG9,Q65SY9,Q66A27,Q6D5W6,Q6FEY7,Q6HLG9,Q6LQ49,Q6NB79,Q71YH0,Q73BB8,Q7MKP8,Q7N1G0,Q7N3V2,Q7NXN3,Q7UAH8,Q7VMB5,Q7WAK9,Q7WJR0,Q7WTR3,Q81G28,Q81T85,Q879Z5,Q88BA2,Q88CB9,Q89AX2,Q89W72,Q8CUL5,Q8D9N8,Q8DPQ6,Q8EES3,Q8FH68,Q8G2I1,Q8P4E6,Q8PG07,Q8UDF5,Q8Y654,Q8YFD7,Q8Z6N7,Q8ZDZ8,Q8ZPP2,Q92AG2,Q92PZ0,Q97QN5,Q98D15,Q9CMZ9,Q9F5N7,Q9HTR0,Q9I3Y3,Q9JV27,Q9K015,Q9KEJ2,Q9KRU4,Q9PA34,Q9RY44,Q9WZS2">multidrug efflux transporters</mark> .
18845662-1341	Furthermore, in Sf9- <mark style="background-color:lightgreen;" id="Q9UNQ0">BCRP</mark>  <mark style="background-color:yellow;" id="GO:0016020,cellular_component">membrane</mark> vesicles <mark style="background-color:lightblue;" id="3033">diclofenac</mark> inhibited <mark style="background-color:yellow;" id="GO:0006810,biological_process">transport</mark> of methotrexate in a concentration-dependent manner.
18829286-1353	Colonization of germ-free (GF) mice has been shown to induce the gastrointestinal form of the <mark style="background-color:lightblue;" id="6326970">selenium</mark>-dependent <mark style="background-color:lightgreen;" id="O32770,O59858,Q00277,Q9CFV1">glutathione peroxidases</mark> , <mark style="background-color:lightgreen;" id="P18283,P83645,Q4AEH7,Q4AEH8,Q4AEH9,Q4AEI0,Q9JHC0">GPx2</mark> .
18821127-1366	Optimization of chitosan succinate and chitosan <mark style="background-color:lightblue;" id="1017">phthalate</mark> microspheres for oral delivery of <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> using response surface methodology.
18837522-1374	Keeping <mark style="background-color:lightblue;" id="1174">uracil</mark> out of DNA: physiological role, structure and catalytic mechanism of <mark style="background-color:lightgreen;" id="O25536,O27642,O29157,O30931,O41033,O48500,O52597,O54134,O66592,O68992,O83855,O84294,P03195,P03370,P06968,P09254,P0A552,P0A553,P10234,P14597,P16088,P16824,P16901,P17374,P19028,P23426,P23427,P28892,P28893,P30007,P31625,P31822,P32208,P32518,P33316,P33317,P33826,P35956,P43058,P43792,P52341,P52541,P57623,P57914,P59408,P61906,P61907,P61908,P61909,P61910,P61911,P61912,P61913,P64004,P64005,P64006,P64007,P64008,P64009,P68634,P68635,P70583,P87630,Q00030,Q01034,Q06095,Q07275,Q2Y742,Q2YRG4,Q31EC7,Q31UY6,Q329L7,Q39DM5,Q39V99,Q3A499,Q3AQ75,Q3B304,Q3BNA6,Q3J0B2,Q3J6W1,Q3JV72,Q3K4M6,Q3KM70,Q3SFR7,Q3SWM9,Q3YRU2,Q3YW02,Q45920,Q47BB1,Q47NK1,Q48Q06,Q491W8,Q49992,Q4FU67,Q4JVB1,Q4K3S2,Q4QLV3,Q4ULV2,Q4UPP2,Q4ZZX9,Q57BK5,Q57IA2,Q58502,Q5F9E0,Q5FN20,Q5GST1,Q5H5L9,Q5L6D8,Q5LIH9,Q5LWD3,Q5NHX4,Q5P7Z9,Q5PAE6,Q5PC28,Q5QZB6,Q5WTW6,Q5X242,Q5YT90,Q5ZSN0,Q603M1,Q62HL1,Q63WI6,Q64ZK3,Q65R66,Q66GD8,Q68WX8,Q69151,Q6A8W1,Q6AFE0,Q6AJZ0,Q6BRN7,Q6C141,Q6CQN7,Q6DAV9,Q6E4Q0,Q6FDR0,Q6FKQ6,Q6FYR2,Q6G202,Q6MEK7,Q6MVL2,Q6RZR1,Q6TUZ4,Q74ZF0,Q76RE7,Q775Z7,Q7M9N1,Q7MAX3,Q7MBE8,Q7MVT6,Q7NKL2,Q7VJU0,Q7VN49,Q7VRK0,Q7VVR1,Q7W8Z8,Q7WKE3,Q823Q9,Q82KK4,Q82UM1,Q83G43,Q83I22,Q83PN3,Q87F19,Q88BD3,Q88C95,Q895R1,Q89662,Q8A245,Q8D2F3,Q8E9M0,Q8F729,Q8FPH9,Q8G4E8,Q8K921,Q8NPA9,Q8P458,Q8PFR5,Q8PWG1,Q8RA46,Q8RER7,Q8SRS0,Q8TGX9,Q8TV34,Q8UII1,Q8V2Y0,Q8XWL1,Q8ZJP5,Q90030,Q92I74,Q92SM6,Q97J61,Q98C10,Q9A253,Q9CJ30,Q9F7S4,Q9HMF3,Q9HTN3,Q9J5G5,Q9JUW1,Q9JZU7,Q9P6Q5,Q9PGZ6,Q9PKA2,Q9X3X5,Q9YG32,Q9YYS0,Q9Z9C2,Q9ZDD2,Q9ZKY3">dUTPases</mark> .
18837522-1375	To prevent <mark style="background-color:lightblue;" id="1174">uracil</mark> incorporation into DNA, representatives of the <mark style="background-color:lightblue;" id="65070">dUTP</mark> nucleotidohydrolase ( <mark style="background-color:lightgreen;" id="O25536,O27642,O29157,O30931,O41033,O48500,O52597,O54134,O66592,O68992,O83855,O84294,P03195,P03370,P06968,P09254,P0A552,P0A553,P10234,P14597,P16088,P16824,P16901,P17374,P19028,P23426,P23427,P28892,P28893,P30007,P31625,P31822,P32208,P32518,P33316,P33317,P33826,P35956,P43058,P43792,P52341,P52541,P57623,P57914,P59408,P61906,P61907,P61908,P61909,P61910,P61911,P61912,P61913,P64004,P64005,P64006,P64007,P64008,P64009,P68634,P68635,P70583,P87630,Q00030,Q01034,Q06095,Q07275,Q2Y742,Q2YRG4,Q31EC7,Q31UY6,Q329L7,Q39DM5,Q39V99,Q3A499,Q3AQ75,Q3B304,Q3BNA6,Q3J0B2,Q3J6W1,Q3JV72,Q3K4M6,Q3KM70,Q3SFR7,Q3SWM9,Q3YRU2,Q3YW02,Q45920,Q47BB1,Q47NK1,Q48Q06,Q491W8,Q49992,Q4FU67,Q4JVB1,Q4K3S2,Q4QLV3,Q4ULV2,Q4UPP2,Q4ZZX9,Q57BK5,Q57IA2,Q58502,Q5F9E0,Q5FN20,Q5GST1,Q5H5L9,Q5L6D8,Q5LIH9,Q5LWD3,Q5NHX4,Q5P7Z9,Q5PAE6,Q5PC28,Q5QZB6,Q5WTW6,Q5X242,Q5YT90,Q5ZSN0,Q603M1,Q62HL1,Q63WI6,Q64ZK3,Q65R66,Q66GD8,Q68WX8,Q69151,Q6A8W1,Q6AFE0,Q6AJZ0,Q6BRN7,Q6C141,Q6CQN7,Q6DAV9,Q6E4Q0,Q6FDR0,Q6FKQ6,Q6FYR2,Q6G202,Q6MEK7,Q6MVL2,Q6RZR1,Q6TUZ4,Q74ZF0,Q76RE7,Q775Z7,Q7M9N1,Q7MAX3,Q7MBE8,Q7MVT6,Q7NKL2,Q7VJU0,Q7VN49,Q7VRK0,Q7VVR1,Q7W8Z8,Q7WKE3,Q823Q9,Q82KK4,Q82UM1,Q83G43,Q83I22,Q83PN3,Q87F19,Q88BD3,Q88C95,Q895R1,Q89662,Q8A245,Q8D2F3,Q8E9M0,Q8F729,Q8FPH9,Q8G4E8,Q8K921,Q8NPA9,Q8P458,Q8PFR5,Q8PWG1,Q8RA46,Q8RER7,Q8SRS0,Q8TGX9,Q8TV34,Q8UII1,Q8V2Y0,Q8XWL1,Q8ZJP5,Q90030,Q92I74,Q92SM6,Q97J61,Q98C10,Q9A253,Q9CJ30,Q9F7S4,Q9HMF3,Q9HTN3,Q9J5G5,Q9JUW1,Q9JZU7,Q9P6Q5,Q9PGZ6,Q9PKA2,Q9X3X5,Q9YG32,Q9YYS0,Q9Z9C2,Q9ZDD2,Q9ZKY3">dUTPase</mark> ) enzyme family eliminate excess <mark style="background-color:lightblue;" id="65070">dUTP</mark>.
18837522-1376	The <mark style="background-color:lightgreen;" id="O25536,O27642,O29157,O30931,O41033,O48500,O52597,O54134,O66592,O68992,O83855,O84294,P03195,P03370,P06968,P09254,P0A552,P0A553,P10234,P14597,P16088,P16824,P16901,P17374,P19028,P23426,P23427,P28892,P28893,P30007,P31625,P31822,P32208,P32518,P33316,P33317,P33826,P35956,P43058,P43792,P52341,P52541,P57623,P57914,P59408,P61906,P61907,P61908,P61909,P61910,P61911,P61912,P61913,P64004,P64005,P64006,P64007,P64008,P64009,P68634,P68635,P70583,P87630,Q00030,Q01034,Q06095,Q07275,Q2Y742,Q2YRG4,Q31EC7,Q31UY6,Q329L7,Q39DM5,Q39V99,Q3A499,Q3AQ75,Q3B304,Q3BNA6,Q3J0B2,Q3J6W1,Q3JV72,Q3K4M6,Q3KM70,Q3SFR7,Q3SWM9,Q3YRU2,Q3YW02,Q45920,Q47BB1,Q47NK1,Q48Q06,Q491W8,Q49992,Q4FU67,Q4JVB1,Q4K3S2,Q4QLV3,Q4ULV2,Q4UPP2,Q4ZZX9,Q57BK5,Q57IA2,Q58502,Q5F9E0,Q5FN20,Q5GST1,Q5H5L9,Q5L6D8,Q5LIH9,Q5LWD3,Q5NHX4,Q5P7Z9,Q5PAE6,Q5PC28,Q5QZB6,Q5WTW6,Q5X242,Q5YT90,Q5ZSN0,Q603M1,Q62HL1,Q63WI6,Q64ZK3,Q65R66,Q66GD8,Q68WX8,Q69151,Q6A8W1,Q6AFE0,Q6AJZ0,Q6BRN7,Q6C141,Q6CQN7,Q6DAV9,Q6E4Q0,Q6FDR0,Q6FKQ6,Q6FYR2,Q6G202,Q6MEK7,Q6MVL2,Q6RZR1,Q6TUZ4,Q74ZF0,Q76RE7,Q775Z7,Q7M9N1,Q7MAX3,Q7MBE8,Q7MVT6,Q7NKL2,Q7VJU0,Q7VN49,Q7VRK0,Q7VVR1,Q7W8Z8,Q7WKE3,Q823Q9,Q82KK4,Q82UM1,Q83G43,Q83I22,Q83PN3,Q87F19,Q88BD3,Q88C95,Q895R1,Q89662,Q8A245,Q8D2F3,Q8E9M0,Q8F729,Q8FPH9,Q8G4E8,Q8K921,Q8NPA9,Q8P458,Q8PFR5,Q8PWG1,Q8RA46,Q8RER7,Q8SRS0,Q8TGX9,Q8TV34,Q8UII1,Q8V2Y0,Q8XWL1,Q8ZJP5,Q90030,Q92I74,Q92SM6,Q97J61,Q98C10,Q9A253,Q9CJ30,Q9F7S4,Q9HMF3,Q9HTN3,Q9J5G5,Q9JUW1,Q9JZU7,Q9P6Q5,Q9PGZ6,Q9PKA2,Q9X3X5,Q9YG32,Q9YYS0,Q9Z9C2,Q9ZDD2,Q9ZKY3">dUTPase</mark>  <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> pocket is highly specific for <mark style="background-color:lightblue;" id="1174">uracil</mark>.
18837522-1377	<mark style="background-color:lightblue;" id="1061,167704,644102">Phosphate</mark> chain coordination involves Mg2+ and is analogous to that of <mark style="background-color:lightgreen;" id="O27276,O29753,O33845,O57191,O59610,O64235,O70736,O71121,O72539,O72540,P00581,P03158,P03198,P03261,P03680,P04292,P04293,P04415,P04495,P05468,P05664,P06225,P06538,P06856,P06950,P07917,P07918,P08546,P09252,P09804,P09854,P10479,P10582,P18131,P19822,P19894,P20311,P20509,P21402,P24907,P27172,P28857,P28858,P28859,P30314,P30317,P30318,P30319,P30320,P30321,P33793,P41712,P42489,P43139,P48311,P52025,P52342,P52367,P56689,P61875,P61876,P74918,P77933,P87503,P87553,Q05254,Q37882,Q37989,Q38087,Q51334,Q56366,Q58295,Q5UQR0,Q64751,Q65946,Q69025,Q6S6P1,Q83948,Q84173,Q85428,Q88469,Q90162,Q9HH05,Q9HH84,Q9YUS2,Q9YUS3">DNA polymerases</mark> .
18837522-1378	In these respective pathogens, Plasmodium falciparum and Mycobacterium tuberculosis, the <mark style="background-color:yellow;" id="GO:0009058,biological_process">biosynthesis</mark> of <mark style="background-color:lightblue;" id="9700">dTMP</mark> relies exclusively on <mark style="background-color:lightgreen;" id="O25536,O27642,O29157,O30931,O41033,O48500,O52597,O54134,O66592,O68992,O83855,O84294,P03195,P03370,P06968,P09254,P0A552,P0A553,P10234,P14597,P16088,P16824,P16901,P17374,P19028,P23426,P23427,P28892,P28893,P30007,P31625,P31822,P32208,P32518,P33316,P33317,P33826,P35956,P43058,P43792,P52341,P52541,P57623,P57914,P59408,P61906,P61907,P61908,P61909,P61910,P61911,P61912,P61913,P64004,P64005,P64006,P64007,P64008,P64009,P68634,P68635,P70583,P87630,Q00030,Q01034,Q06095,Q07275,Q2Y742,Q2YRG4,Q31EC7,Q31UY6,Q329L7,Q39DM5,Q39V99,Q3A499,Q3AQ75,Q3B304,Q3BNA6,Q3J0B2,Q3J6W1,Q3JV72,Q3K4M6,Q3KM70,Q3SFR7,Q3SWM9,Q3YRU2,Q3YW02,Q45920,Q47BB1,Q47NK1,Q48Q06,Q491W8,Q49992,Q4FU67,Q4JVB1,Q4K3S2,Q4QLV3,Q4ULV2,Q4UPP2,Q4ZZX9,Q57BK5,Q57IA2,Q58502,Q5F9E0,Q5FN20,Q5GST1,Q5H5L9,Q5L6D8,Q5LIH9,Q5LWD3,Q5NHX4,Q5P7Z9,Q5PAE6,Q5PC28,Q5QZB6,Q5WTW6,Q5X242,Q5YT90,Q5ZSN0,Q603M1,Q62HL1,Q63WI6,Q64ZK3,Q65R66,Q66GD8,Q68WX8,Q69151,Q6A8W1,Q6AFE0,Q6AJZ0,Q6BRN7,Q6C141,Q6CQN7,Q6DAV9,Q6E4Q0,Q6FDR0,Q6FKQ6,Q6FYR2,Q6G202,Q6MEK7,Q6MVL2,Q6RZR1,Q6TUZ4,Q74ZF0,Q76RE7,Q775Z7,Q7M9N1,Q7MAX3,Q7MBE8,Q7MVT6,Q7NKL2,Q7VJU0,Q7VN49,Q7VRK0,Q7VVR1,Q7W8Z8,Q7WKE3,Q823Q9,Q82KK4,Q82UM1,Q83G43,Q83I22,Q83PN3,Q87F19,Q88BD3,Q88C95,Q895R1,Q89662,Q8A245,Q8D2F3,Q8E9M0,Q8F729,Q8FPH9,Q8G4E8,Q8K921,Q8NPA9,Q8P458,Q8PFR5,Q8PWG1,Q8RA46,Q8RER7,Q8SRS0,Q8TGX9,Q8TV34,Q8UII1,Q8V2Y0,Q8XWL1,Q8ZJP5,Q90030,Q92I74,Q92SM6,Q97J61,Q98C10,Q9A253,Q9CJ30,Q9F7S4,Q9HMF3,Q9HTN3,Q9J5G5,Q9JUW1,Q9JZU7,Q9P6Q5,Q9PGZ6,Q9PKA2,Q9X3X5,Q9YG32,Q9YYS0,Q9Z9C2,Q9ZDD2,Q9ZKY3">dUTPase</mark> activity.
18845767-1393	Most cells contain <mark style="background-color:yellow;" id="GO:0000317,molecular_function">methionine sulfoxide reductases</mark> , which catalyze a <mark style="background-color:lightgreen;" id="O14463,O17486,O22022,O30974,O51088,O51890,O83889,O84544,O96952,O97508,O97680,P00276,P08058,P08628,P08629,P09857,P0A0K4,P0A0K5,P0A0K6,P0A4L3,P0A4L4,P0A616,P0A617,P10472,P10473,P10599,P10639,P11232,P14930,P14949,P21609,P21610,P29429,P29451,P33791,P34723,P37395,P42115,P43785,P46843,P47370,P50254,P50338,P50413,P51225,P52227,P52230,P52231,P52233,P57653,P59527,P66928,P66929,P75512,P80579,P81108,P81109,P81110,P82460,P96132,P99122,P99505,Q05739,Q57755,Q5HGT9,Q5HQ29,Q5R9M3,Q6GA69,Q6GHU0,Q7KQL8,Q7M1B9,Q8CPL5,Q92JR5,Q98PL5,Q98TX1,Q9BDJ3,Q9CM49,Q9DGI3,Q9JWM8,Q9K1N8,Q9PJK3,Q9R6P9,Q9UW02,Q9X2T1,Q9Z7P5,Q9ZEE0">thioredoxin</mark> -dependent reduction of <mark style="background-color:lightblue;" id="876,6137">methionine</mark> sulfoxide back to <mark style="background-color:lightblue;" id="876,6137">methionine</mark>.
18935969-1418	The reduction of WST-1 was inhibited in a concentration-dependent manner by <mark style="background-color:lightgreen;" id="O50258">superoxide dismutase</mark> , an enzyme that catalyzes the reduction of <mark style="background-color:lightblue;" id="5359597">superoxide</mark> to <mark style="background-color:lightblue;" id="784">peroxide</mark>, confirming that the reduction of WST-1 was due to the presence of <mark style="background-color:lightblue;" id="5359597">superoxide</mark>.
